"","Adelomyia melanogenys","Aglaiocercus coelestis","Amazilia franciae","Boissonneaua flavescens","Coeligena torquata","Coeligena wilsoni","Colibri coruscans","Doryfera ludovicae","Florisuga mellivora","Haplophaedia lugens","Heliangelus strophianus","Heliodoxa imperatrix","Heliodoxa jacula","Heliodoxa rubinoides","Ocreatus underwoodii","Phaethornis striigularis","Phaethornis syrmatophorus","Phaethornis yaruqui","Schistes albogularis","Urosticte benjamini"
"Besleria solanoides",4,38,0,0,0,2,0,0,0,0,1,0,0,0,37,0,1,0,0,2
"Bomarea multiflora",20,5,0,0,38,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0
"Bomarea pardina",0,0,0,0,9,22,0,0,0,0,0,0,1,6,0,0,4,0,0,0
"Burmeistera multiflora",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calathea ischnosiphonoides",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Centropogon preslii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Centropogon solanifolius",1,21,0,0,1,2,0,0,0,0,0,0,4,1,0,0,84,0,0,0
"Columnea ciliata",0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Columnea picta",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Columnea strigosa",1,16,0,0,0,13,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"Drymonia brochidodroma",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia collegarum",0,2,0,0,0,14,0,0,0,0,0,0,0,1,0,0,6,0,0,0
"Drymonia tenuis",7,14,0,0,0,4,0,0,0,1,10,0,0,0,0,0,3,1,0,0
"Drymonia teuscheri",1,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythrina megistophylla",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",1,13,0,0,2,6,0,0,0,0,0,0,0,1,0,0,21,0,3,0
"Gasteranthus lateralis",2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Gasteranthus pansamalanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Gasteranthus quitensis",3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Glossoloma oblongicalyx",3,28,0,0,1,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0
"Guzmania amplectens",0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Guzmania jaramilloi",0,158,1,0,0,35,0,0,0,0,0,3,2,0,18,0,30,0,0,0
"Guzmania lehmanniana",0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Guzmania squarrosa",11,18,0,0,5,1,0,0,0,0,4,0,0,1,0,0,5,0,0,0
"Heliconia burleana",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0
"Heliconia impudica",0,12,0,0,1,13,0,0,0,0,0,0,1,0,0,0,4,0,0,0
"Kohleria affinis",0,11,0,0,5,9,0,0,0,0,1,0,0,1,0,0,3,0,0,0
"Kohleria villosa",0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania bullata",0,3,0,0,11,6,0,6,0,0,4,0,0,0,0,0,7,0,0,0
"Macleania stricta",9,22,0,0,2,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"Meriania tomentosa",7,3,0,10,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",2,45,0,10,2,40,0,1,0,0,3,0,1,5,0,0,4,0,0,0
"Mikania websteri",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Palicourea acetosoides",0,47,0,0,3,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",0,0,0,0,0,1,3,0,0,0,0,0,0,2,6,0,0,0,0,1
"Palicourea lineata",19,4,0,14,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0
"Pitcairnia nigra",0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,79,0,0,0
"Pitcairnia sodiroi",0,27,0,0,18,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Psammisia aberrans",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia ecuadorensis",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",8,33,0,0,1,1,0,0,0,9,27,0,1,0,0,0,0,0,0,0
"Psammisia ulbrichiana",1,10,0,0,10,30,0,4,0,0,9,0,0,1,3,0,0,0,2,0
"Renealmia sessilifolia",4,11,0,0,0,6,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"Sarcopera anomala",0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,0,0,0,0,3
"Tillandsia complanata",0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
"Unidentified sp1 M_PL_074_02",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zingiberaceae sp1 M_PL_074_02",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
