"X","Amalaraeus.penicilliger","Amphalius.runatus","Amphipsylla.dumalis","Amphipsylla.kuznetzovi","Amphipsylla.longispina","Amphipsylla.primaris","Amphipsylla.vinogradovi","Callopsylla.caspia","Ceratophyllus.indages","Citellophilus.tesquorum","Ctenophyllus.hirticrus","Frontopsylla.elata","Frontopsylla.elatoides","Frontopsylla.hetera","Frontopsylla.wagneri","Megabothris.rectangulatus","Neopsylla.abagaitui","Neopsylla.bidentatiformis","Neopsylla.galea","Neopsylla.mana","Neopsylla.pleskei","Nosopsyllus.laeviceps","Ophthalmopsylla.kiritschenkovi","Ophthalmopsylla.praefecta","Oropsylla.alaskensis","Oropsylla.silantiewi","Paradoxopsyllus.dashidorzhii","Paradoxopsyllus.integer","Paradoxopsyllus.kalabukhovi","Paradoxopsyllus.scorodumovi","Paramonopsyllus.scalonae","Pectinoctenus.pavlovskii","Rhadinopsylla.altaica","Rhadinopsylla.dahurica","Rhadinopsylla.li","Rhadinopsylla.pseudodahurica","Rhadinopsylla.rothschildi","Tarsopsylla.octodecimdentata","Wagnerina.longicauda","Xenopsylla.conformis"
"Allactaga sibirica",0,0,0,0,5,0,0,0,0,0,0,0,2,3,33,0,0,0,0,3,0,0,0,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Allocricetulus curtatus",0,0,0,0,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,188,0,0,4,0,10,0,0,0,0,0,0,0,0
"Alticola semicanus",0,2,0,0,2,184,0,23,0,5,7,50,0,9,0,0,0,0,0,4,10,0,0,0,0,0,22,0,0,108,66,0,0,22,0,2,2,0,11,0
"Clethrionomys rufocanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",0,0,0,0,2,0,101,0,0,0,0,0,0,14,0,0,0,27,10,8,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0
"Dipus sagitta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellobius tancrei",0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eolagurus przewalskii",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiopodomys brandtii",85,0,0,0,0,558,0,0,0,2,3,0,0,107,0,0,0,0,2,305,141,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,4,0,0,0
"Marmota sibirica",0,0,0,0,0,2,0,0,0,14,0,0,0,11,0,0,0,0,0,3,2,0,0,0,0,1960,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"Meriones meridianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2
"Meriones unguiculatus",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"Microtus gregalis",0,0,0,2,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Phodopus sungorus",0,0,0,0,11,2,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
"Sciurus vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Spermophilus undulatus",0,17,0,2,0,8,3,0,0,3998,36,0,608,178,0,0,36,3,0,101,2,0,0,0,559,2,0,0,0,2,0,0,0,2,594,0,0,0,0,0
"Tamias sibiricus",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
