"","Carduelis chloris","Columba palumbus","Corvus corone","Cyanistes caeruleus","Erithacus rubecula","Fringilla coelebs","Fringilla montifringilla","Gallinula chloropus","Garrulus glandarius","Muscicapa striata","Parus major","Pica pica","Picus viridis","Poecile montanus","Poecile palustris","Pyrrhula pyrrhula","Streptopelia decaocto","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus torquatus","Turdus viscivorus"
"Arum maculatum",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
"Bryonia dioica",0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,31,3,1,1,0,15,5,0,0,0
"Cornus sanguinea",0,0,2,0,53,0,0,0,0,0,0,13,4,0,0,0,0,1976,9,0,0,0,101,72,58,0,0,1
"Crataegus sp1 M_SD_011",0,96,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,536,1559,113,990,0,147
"Euonymus europaeus",0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,94,19,0,0,0
"Hedera helix",0,476,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,279,126,0,0,0,168,867,379,110,12,119
"Ilex aquifolium",0,32,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,582,612,57,84,0,370
"Juniperus communis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8
"Ligustrum vulgare",0,4,0,0,19,0,0,0,0,0,0,1,0,0,0,48,0,0,8,0,0,0,7,110,12,3,0,5
"Lonicera caprifolium",0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,65,0,14,38,0,0,9,0,78,11,0,0,0
"Lonicera periclymenum",0,0,0,8,18,0,0,0,0,0,0,0,0,0,9,52,0,1,0,0,0,0,0,20,2,0,0,0
"Malus sylvestris",0,0,12,0,0,17,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus avium",0,9,8,0,0,0,0,0,7,0,0,4,0,0,0,0,0,67,3,1,0,0,0,394,48,0,0,40
"Prunus padus",0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,9,5,0,0,0,89,21,0,0,28
"Prunus spinosa",0,0,17,0,21,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,60,268,310,33,0,53
"Rhamnus cathartica",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,0,90,9,0,0,0,132,228,37,11,0,41
"Ribes rubrum",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,9,2,0,0,0
"Rosa canina",22,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,603,7,431,0,12
"Rubus fruticosus",5,0,0,30,26,0,0,5,0,0,0,0,0,0,0,7,0,335,5,2,2,3,0,138,5,0,0,0
"Rubus idaeus",0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0
"Sambucus nigra",0,55,1,126,100,0,0,1,3,4,1,19,0,0,2,29,2,722,108,15,3,12,1,169,187,1,0,4
"Solanum dulcamara",0,1,0,1,14,0,0,0,0,3,0,0,0,0,0,13,0,6,41,0,0,0,0,26,20,0,0,0
"Sorbus aria",53,18,24,0,2,55,21,0,7,0,2,27,0,0,0,97,0,11,3,0,0,0,170,257,36,3,0,69
"Sorbus aucuparia",0,0,0,0,7,0,0,0,1,0,0,3,0,0,0,105,0,63,12,1,0,3,0,505,22,0,0,32
"Tamus communis",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,5,1,0,0
"Taxus baccata",211,0,0,0,26,0,0,0,0,0,7,0,0,0,0,0,0,837,4,0,0,0,55,480,510,0,3,233
"Viburnum lantana",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,25,3,0,7,0,40,6,0,0,0
"Viburnum opulus ",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,1,14,95,0,0,4
"Viscum album",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,0,0,251
