"","Coccothraustes coccothraustes","Columba palumbus","Corvus corax","Corvus corone","Dendrocopos major","Emberiza cia","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Garrulus glandarius","Loxia curvirostra","Parus ater","Parus caeruleus","Parus cristatus","Parus major","Phoenicurus ochruros","Phoenicurus phoenicurus","Pica pica","Serinus citinella","Serinus serinus","Sitta europaea","Sylvia atricapilla","Sylvia borin","Sylvia cantillans","Sylvia communis","Sylvia conspicillata","Sylvia melanocephala","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus torquatus","Turdus viscivorus"
"Amelanchier ovalis",0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arum italicum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Berberis vulgaris",0,0,0,2,0,0,16,0,12,0,0,0,4,0,8,22,2,4,0,0,0,8,0,0,0,0,0,37,26,0,12,95,10
"Cotoneaster granatensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Crataegus monogyna",67,12,2,10,0,1,2,0,68,13,4,4,7,3,27,0,0,13,0,0,1,6,0,0,0,0,0,152,111,6,74,375,121
"Daphne laureola",0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Hedera helix",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,84,0,0,0,0,0,7,141,0,0,2,8
"Juniperus communis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,9,13
"Juniperus oxycedrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Juniperus phoenicea",8,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,8,183,115
"Juniperus sabina",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,62,8
"Lonicera arborea",0,0,0,0,0,0,0,0,5,0,0,8,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,1,7,0,0,66,1
"Lonicera etrusca",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lonicera splendida",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paeonia officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Polygonatum odoratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Prunus mahaleb",3,55,0,19,21,0,175,1,783,135,0,391,61,37,41,941,111,0,6,18,33,62,8,32,182,2,35,0,583,0,0,0,829
"Prunus prostrata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Rhamnus myrtifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Rhamnus saxatilis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Rosa canina",4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50,1,19,58,22
"Rubia peregrina",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Rubus ulmifolius",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,1,0,1,0,1,0,0,2
"Sorbus aria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Taxus baccata",2,5,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,11,5
