"","Agraulis vanillae","Allograpta sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Augochlora semiramis","Augochlorella ephyra","Augochloropsis erato","Augochloropsis sp2 M_PL_072","Bibionidae sp1 M_PL_072","Bombus bellicosus","Brachygastra lechiguana","Camponotus sp1 M_PL_072","Cantharidae sp1 M_PL_072","Ceratina rupestris","Chalcidoidea sp1 M_PL_072","Chauliognathus sp2 M_PL_072","Chilicola sp1 M_PL_072","Chrysodina sp1 M_PL_072","Chrysopa sp1 M_PL_072","Cochliomyia macellaria","Coelioxys sp1 M_PL_072","Colletes sp1 M_PL_072","Colletes sp2 M_PL_072","Corticea immocerina","Drosophilidae sp1 M_PL_072","Entypus sp1 M_PL_072","Eristalinus taeniops","Euptoieta claudia hortensia","Gaesischia sp1 M_PL_072","Halictillus sp1 M_PL_072","Lerodea eufala","Lucilia sericata","Megachile sp4 M_PL_072","Megachilidae sp1 M_PL_072","Megacyllene spixi","Melissoptila tandilensis","Melyridae sp1 M_PL_072","Mordellidae sp1 M_PL_072","Palpada sp1 M_PL_072","Parachytas sp1 M_PL_072","Paroxystoglossa sp1 M_PL_072","Phalacridae sp1 M_PL_072","Platycheirus sp1 M_PL_072","Polistes sp1 M_PL_072","Polybia scutellaris","Sarcophagidae sp1 M_PL_072","Staphylinidae sp1 M_PL_072","Tachinidae sp1 M_PL_072","Tachypompilus sp1 M_PL_072","Thespieus catochra","Toxomerus sp1 M_PL_072","Trichopoda giacomelli","Vanessa sp1 M_PL_072","Villa sp1 M_PL_072","Xylocopa augusti","Zeta canaliculata","Zethus sp1 M_PL_072"
"Achyrocline satureoides",0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1
"Adesmia incana",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arjona tuberosa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis articulata",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"Baccharis coridifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis tandilensis",0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Carduus acanthoides",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleanthes brasiliensis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conyza bonariensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytisus monspessulanus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
