"","Chiroxiphia caudata","Coereba flaveola ","Conirostrum speciosum","Cyanocorax cristatellus","Cyclarhis gujanensis","Dacnis cayana","Elaenia flavogaster","Habia rubica","Manacus manacus","Myiodynastes maculatus","Myiophobus fasciatus","Penelope superciliaris","Pipraeidea melanonota","Pitangus sulphuratus","Ramphastos toco","Ramphocelus carbo","Saltator similis","Sirystes sibilator","Tachyphonus coronatus","Tangara cayana","Thlypopsis sordida","Thraupis sayaca","Tityra cayana","Trichothraupis melanops","Turdus amaurochalinus","Turdus rufiventris","Tyrannus melancholicus","Tyrannus savanna","Vireo olivaceus"
"Cabralea canjerana",1,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
"Cecropia pachystachia",1,2,0,0,0,3,1,0,2,0,0,0,0,1,0,2,0,0,16,0,0,5,0,2,0,1,0,0,0
"Cestrum sp1 M_SD_012",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Chamissoa altissima",2,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,2,0,5,2,0,1,0,11,0,0,0,0,0
"Chlorophora tinctoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Citharexylum mirianthum",6,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0
"Copaifera langsdorffii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordia sp1 M_SD_012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dendropanax cuneatum",2,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,4
"Ficus luschnatiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gomidesia affinis",6,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Maytenus aquifolium",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia discolor",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia elegans",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Miconia sp1 M_SD_012",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momordica charantia ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Ocotea corimbosa",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Ocotea macropoda",4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Ocotea sp1 M_SD_012",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Palicourea sp1 M_SD_012",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paullinia rhomboidea",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paullinia sp1 M_SD_012",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Pera glabrata",1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,2,1,7,0,0,1,0,1,0,0,0,0,3
"Pereskia aculeata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Persia major",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Piper sp1 M_SD_012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Protium heptaphyllum",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhipsalis sp1 M_SD_012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rubus sp1 M_SD_012",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Talauma ovata",0,0,0,0,0,2,6,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
"Trema micrantha",5,0,0,0,0,6,2,1,5,1,0,0,0,0,0,1,12,0,10,2,2,3,0,12,0,0,1,2,7
"Trichilia clauseni",1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,2,0,0,0,0,7
"Urera baccifera",0,1,0,0,0,0,0,6,4,0,0,0,1,0,0,2,0,0,12,0,0,0,0,7,0,0,0,0,0
"Xylopia brasiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Zanthoxylum hyemale",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9
