"","Diphyllodes magnificus","Epimachus albertisii","Lophorina superba","Manucodia chalybatus","Manucodia keraudrenii","Paradisaea raggiana","Paradisaea rudolphi","Parotia lawesii","Ptiloris magnificus"
"Aglaia sp1 M_SD_002",0,0,0,0,0,3,0,1,0
"Aporusa sp1 M_SD_002",0,0,1,0,0,0,0,0,0
"Canthium sp1 M_SD_002",1,0,0,0,0,0,0,0,0
"Chisocheton sp1 M_SD_002",13,5,23,1,7,13,3,10,16
"Cissus aristata",1,0,0,1,0,0,0,0,0
"Cissus hypoglauca",4,1,1,0,13,5,3,2,1
"Dysoxylum sp1 M_SD_002",12,0,0,0,1,17,0,1,0
"Elmerrillia sp1 M_SD_002",12,1,2,1,8,2,0,2,0
"Endospermum sp1 M_SD_002",15,0,9,0,2,2,0,2,0
"Ficus 181",0,0,0,0,7,0,1,2,0
"Ficus 202",1,0,0,1,2,0,0,0,0
"Ficus 217",0,0,0,0,9,0,0,0,0
"Ficus 246",2,0,0,1,4,0,0,0,0
"Ficus 275",5,0,2,8,40,13,4,1,0
"Ficus 371",0,1,4,1,6,3,7,4,0
"Ficus drupacea",0,0,0,0,2,0,0,0,0
"Ficus gul",8,0,1,25,155,45,1,12,0
"Ficus odoardi",8,0,1,19,55,20,0,6,2
"Gastonia sp1 M_SD_002",58,0,0,0,17,24,3,22,7
"Glochidion sp1 M_SD_002",1,0,0,0,0,0,0,0,0
"Homalanthus sp1 M_SD_002",104,0,17,0,4,75,23,10,8
"Myristica sp1 M_SD_002",1,0,0,0,3,1,0,3,0
"Pandanus sp1 M_SD_002",5,0,2,0,0,2,1,0,0
"Piper sp1 M_SD_002",0,0,0,0,1,0,0,0,0
"Schefflera sp1 M_SD_002",2,0,0,0,0,0,10,47,1
"Sloanea aberrans",2,0,0,0,0,0,0,0,0
"Sloanea sogerensis",4,0,2,0,2,1,0,2,0
"Sterculia sp1 M_SD_002",0,0,0,0,0,0,0,1,0
"Syzygium sp1 M_SD_002",0,0,0,0,8,1,0,1,0
"Uvaria sp1 M_SD_002",0,0,0,0,2,0,0,0,0
"Zingiberaceae sp1 M_SD_002",2,0,0,1,0,0,1,0,0
