"X","Amphipsylla.kalabukhovi","Amphipsylla.schelkovnikovi","Citellophilus.tesquorum","Citellophilus.trispinus","Coptopsylla.lamellifer","Ctenophthalmus.breviatus","Ctenophthalmus.dolichus","Echidnophaga.oschanini","Frontopsylla.semura","Leptopsylla.segnis","Mesopsylla.hebes","Mesopsylla.lenis","Mesopsylla.tuschkan","Neopsylla.setosa","Nosopsyllus.laeviceps","Ophthalmopsylla.volgensis","Oropsylla.ilovaiskii","Paradoxopsyllus.repandus","Rhadinopsylla.cedestis","Stenoponia.conspecta","Xenopsylla.conformis","Xenopsylla.skrjabini"
"Allactaga elater",0,0,0,0,0,0,0,0,1,0,51,49,48,1,28,8,1,0,1,0,0,97
"Allactaga major",0,0,0,0,0,0,0,2,0,0,174,12,55,0,0,1,0,0,0,0,0,30
"Allocricetulus eversmanni",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Cricetulus migratorius",0,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Meriones meridianus",0,0,0,0,5,0,0,5,0,1,2,3,6,9,138,0,6,0,7,0,6,725
"Meriones tamariscinus",0,0,0,2,10,0,0,2,0,0,0,1,0,0,65,0,0,0,1,0,0,38
"Pygeretmus pumilio",0,0,0,0,0,0,0,0,0,0,21,17,24,0,9,6,0,0,2,0,0,96
"Rhombomys opimus",0,0,10,3,1930,1,621,872,6,1,15,11,13,61,9319,1,424,3,1121,1,75,105610
"Spermophilus fulvus",0,0,149,1612,0,0,0,0,0,0,0,0,0,48,60,0,173,0,0,0,0,84
"Spermophilus pygmaeus",0,0,450,87,0,101,4,1,35,0,1,49,3,1628,127,1,260,0,12,0,6,338
"Stylodipus telum",0,0,68,0,0,3,0,0,4,0,33,5,78,32,30,62,5,0,0,0,0,92
