"","Amazilia fimbriata","Anthracothorax nigricollis","Campylopterus largipennis","Chlorestes notata","Chlorostilbon mellisugus","Chrysuronia oenone","Florisuga mellivora","Glaucis hirsutus","Heliodoxa aurescens","Phaethornis bourcieri","Phaethornis hispidus","Phaethornis ruber","Phaethornis superciliosus","Thalurania furcata","Threnetes leucurus"
"Aechmea contracta",0,0,1,0,0,0,0,6,0,0,22,1,3,0,0
"Aechmea williamsii",0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
"Calathea capitata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Combretum llewelynii",0,0,0,0,0,0,17,0,0,0,0,0,0,12,0
"Costus scaber",19,1,0,0,0,4,0,5,0,0,21,0,10,0,2
"Costus spiralis",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"Cuphea melvilla",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Erythrina fusca",43,30,0,7,0,1,63,0,0,0,0,0,0,7,0
"Genipa americana",136,3,0,0,0,1,6,0,0,0,0,0,0,0,0
"Gesneriaceae sp4 M_PL_074_06",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gurania lobata",54,0,0,0,2,3,0,2,0,0,1,0,0,0,0
"Gurania rhizantha",0,0,0,0,0,0,0,1,0,20,0,0,13,46,0
"Heliconia juruana",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Heliconia schumanniana",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Heliconia stricta",0,0,0,0,0,0,0,3,0,0,2,0,3,0,3
"Inga leiocalycina",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Palicourea crocea",57,0,20,0,12,11,0,58,0,0,0,2,1,9,0
"Palicourea fastigiata",6,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Palicourea lasiantha",0,0,0,0,0,0,0,1,0,0,0,0,19,5,0
"Palicourea sp2 M_PL_074_06",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Passiflora involucrata",0,0,0,0,0,0,0,1,0,0,0,0,11,0,0
"Passiflora quadriglandulosa",10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Passiflora spinosa",0,0,0,0,0,0,0,1,0,17,0,0,14,0,0
"Psittacanthus cucullaris",109,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Quararibea lasiocalyx",0,0,0,0,0,0,0,0,5,0,0,0,0,2,0
"Sanchezia munita",0,0,0,0,0,0,0,5,0,0,2,0,2,0,3
"Sanchezia putumayensis",18,0,0,0,0,0,0,0,0,0,11,0,2,0,0
"Syzygium malaccense",99,21,0,5,0,4,35,0,0,0,0,0,0,0,0
"Tachigali paniculata",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
