"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_001","185","361","0.043","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordon del Cepo, Chile","-33.283334","-70.266668"
"M_PL_002","107","196","0.071","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordon del Cepo, Chile","-33.283334","-70.266668"
"M_PL_003","61","81","0.09","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordon del Cepo, Chile","-33.283334","-70.266668"
"M_PL_004","114","167","0.136","Pollination","1","Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.","Central New Brunswick, Canada","46.553731","-66.071245"
"M_PL_005","371","923","0.035","Pollination","0","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.","Pikes Peak, Colorado, USA","38.841784","-105.043821"
"M_PL_006","78","146","0.141","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.","Hickling, Norfolk, UK","52.762395","1.575532"
"M_PL_007","52","85","0.148","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.","Shelfanger, Norfolk, UK","52.413173","1.097873"
"M_PL_008","49","106","0.254","Pollination","0","Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310.","Tenerife, Canary Islands","28.216667","-16.633333"
"M_PL_009","142","242","0.085","Pollination","0","Elberling, H. & Olesen, J. M. 1999. The structure of a high latitude plant-pollinator system: The dominance of flies. Ecography 22:314-323.","Latnjajaure, Abisko, Sweden","68.35","18.5"
"M_PL_010","107","456","0.194","Pollination","0","Elberling & Olesen unpubl.","Zackenberg","74.5","-20.5"
